"code","name","portfolio_lvr","standard_lvr","single_lvr"
"IEL","IDP EDUCATION LIMITED","65","60","55"
"MVA","VANECK AUSTRALIAN PROPERTY ETF","70","65","60"
"IEM","ISHARES MSCI EMERGING MARKETS ETF","75","70","65"
"MVB","VANECK AUSTRALIAN BANKS ETF","80","75","70"
"IEU","ISHARES EUROPE ETF","75","70","65"
"ASX","MIDCAP ETF","80","75","70"
"IFL","INSIGNIA FINANCIAL LTD","60","55","50"
"MVR","VANECK AUSTRALIAN RESOURCES ETF","75","70","65"
"IFM","INFOMEDIA LTD","50","45","40"
"MVW","VANECK AUSTRALIAN EQUAL WEIGHT ETF","75","70","65"
"MXT","METRICS MASTER INCOME TRUST","40","35","30"
"IGO","IGO LIMITED","65","60","55"
"MYR","MYER HOLDINGS LIMITED","40","35","30"
"ASX","DIV OPPORTUNITIES ESG SCREENED ETF","80","75","70"
"MYS","MYSTATE LIMITED","45","40","35"
"100","AUD HEDGED ETF","75","70","65"
"NAB","NATIONAL AUSTRALIA BANK LIMITED","80","75","70"
"500","AUD HEDGED ETF","80","75","70"
"NABPF","NATIONAL AUSTRALIA BANK LIMITED","80","75","70"
"NABPH","NATIONAL AUSTRALIA BANK LIMITED","80","75","70"
"MANAGED","FU","60","55","50"
"NABPI","NATIONAL AUSTRALIA BANK LIMITED","80","75","70"
"NABPJ","NATIONAL AUSTRALIA BANK LIMITED","80","75","70"
"CAP","ETF","75","70","65"
"NAN","NANOSONICS LIMITED","50","45","40"
"IJP","ISHARES MSCI JAPAN ETF","80","75","70"
"NCK","NICK SCALI LIMITED","55","50","45"
"CAP","ETF","75","70","65"
"50","ETF","70","65","60"
"100","ETF","80","75","70"
"RUL","RPMGLOBAL HOLDINGS LIMITED","40","0","0"
"HOLDINGS","LIMITED","65","60","55"
"RWC","RELIANCE WORLDWIDE CORPORATION LIMITED","60","55","50"
"NEM","NEWMONT CORPORATION","75","70","65"
"SOUTH32","LIMITED","75","70","65"
"NEU","NEUREN PHARMACEUTICALS LIMITED","40","0","0"
"SBM","ST BARBARA LIMITED","45","40","35"
"NGI","NAVIGATOR GLOBAL INVESTMENTS LIMITED","45","40","35"
"SCG","SCENTRE GROUP","70","65","60"
